member_id,scenario,observed_pvgis_year,climate_target,is_leap_year,row_count,timestamp_start_utc,timestamp_end_utc,member_path,member_sha256,metadata_path,metadata_sha256,T_min_C,T_max_C,T_mean_C,I_solar_min_W_m2,I_solar_max_W_m2,I_solar_mean_W_m2
weather_2050_rcp_4_5_pvgis_2018,rcp_4_5,2018,2041-2060,False,8760,2018-01-01T00:00:00+00:00,2018-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2018.csv,f1cd6b211c74637a3bb2c50388defee18057d3e5c659d17c866393aa9700d243,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2018.metadata.json,f4de8819db342365e908f44339b914c6c4079baa0f298d636e6eeaf1776aed57,-6.9919655703,35.1412933842,12.5442270840,0.0000000000,947.4145894407,140.0095294457
weather_2050_rcp_4_5_pvgis_2019,rcp_4_5,2019,2041-2060,False,8760,2019-01-01T00:00:00+00:00,2019-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2019.csv,87e4fbe24c243ee335a5995fbee18a6503f63f2e209c039ea99c10d10c2b508f,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2019.metadata.json,69a84d90e7aff61551bb77fbb9b5575c2408ff62270aa55e43633719798baf6e,-4.5019655703,38.1812933842,12.1946540246,0.0000000000,968.0199865767,133.4393263072
weather_2050_rcp_4_5_pvgis_2020,rcp_4_5,2020,2041-2060,True,8784,2020-01-01T00:00:00+00:00,2020-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2020.csv,22b87437c98bde7fae4254f0a5be0bb03bf2f55550487a986c6f781cc91e05c2,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2020.metadata.json,ae635286a682e59589e76561c6d6d8dc860762fd54aba8bce8b4c90a4dd7836d,-2.5043043819,35.3912933842,12.8334155376,0.0000000000,952.4737934967,139.0622175135
weather_2050_rcp_4_5_pvgis_2021,rcp_4_5,2021,2041-2060,False,8760,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2021.csv,bdf0837c1d8f795dee5f01b503db5512dd9784f5ef1d10c3b23ade47eb0af9f9,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2021.metadata.json,a5f5d6fbefbda4edc9394eb121a828671befbcbc129eaf7e2924bd7e729ab3e2,-10.5819655703,30.9144040765,11.2407693214,0.0000000000,978.3375500936,128.1546887721
weather_2050_rcp_4_5_pvgis_2022,rcp_4_5,2022,2041-2060,False,8760,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2022.csv,4fd9f7983e1937fd9f234ef96f774c90e3917318eee20fa00c5a3890afdb8739,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2022.metadata.json,2ceebf257dda9cc9fbeb8cb675d23b3d653555a4f49b6e4b5e362bc05b61bbe9,-5.0538360760,37.1812933842,12.8075033397,0.0000000000,956.6194449847,143.6747023733
weather_2050_rcp_4_5_pvgis_2023,rcp_4_5,2023,2041-2060,False,8760,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2023.csv,c29b1fa1752d769753ffddbe692b63b4d388ebc160f401852af4df9eb028e227,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2023.metadata.json,d82d4d64d4925bccf8ea9c2b3eca312c76d57ba8a42b8969aa946cf377e88139,-4.0419655703,30.6744040765,12.6882088191,0.0000000000,978.3375500936,131.9439328828
weather_2050_rcp_8_5_pvgis_2006,rcp_8_5,2006,2041-2060,False,8760,2006-01-01T00:00:00+00:00,2006-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2006.csv,9662ef80486c1d5ac858e8ccd927ebf4ec8cb92c54468c7c4f35ac084937d57c,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2006.metadata.json,851b28eb2a0d06637892d86ea12085310cebc9cd9f447aed0a2a9caf3cc166ad,-4.1924525501,34.8264091267,12.1321952592,0.0000000000,929.2417437601,126.0097182250
weather_2050_rcp_8_5_pvgis_2007,rcp_8_5,2007,2041-2060,False,8760,2007-01-01T00:00:00+00:00,2007-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2007.csv,6df6dd08c33af8e30d4b343eb6b5503f221a11ee7b2beed144e97d6a68e8dfa2,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2007.metadata.json,9ebfc6806e7a4aa3cf4a66c9c77ad3c5ef2fb04064a9b722927b22461e4a9cb2,-3.7188740283,29.0564091267,12.1673413779,0.0000000000,914.3400900980,121.7982640073
weather_2050_rcp_8_5_pvgis_2008,rcp_8_5,2008,2041-2060,True,8784,2008-01-01T00:00:00+00:00,2008-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2008.csv,f00295f4e94e099f2fde7c2485d078f8bb031e2ff901af91116d4419d859ef94,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2008.metadata.json,0dfd08801155e3993204168f2d24caf866ae031a7dad49cd109bb53c2339c3e3,-4.3977844621,30.4564091267,11.4986050120,0.0000000000,939.3201783081,119.2755705074
weather_2050_rcp_8_5_pvgis_2009,rcp_8_5,2009,2041-2060,False,8760,2009-01-01T00:00:00+00:00,2009-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2009.csv,5922cb919f80983d9fe52be63d27a662eeefe5a8017cd793704a15f7c38aa803,data/processed/ensemble_2050/rcp_8_5/weather_2050_rcp_8_5_pvgis_2009.metadata.json,703a209a741e8c865a562af07f0e698f05085babd430a9ebd284b567ced1fb21,-9.9288740283,33.6699050116,11.6400628391,0.0000000000,933.2731175793,126.6439597113
