archetype_id,climate_scenario_id,weather_member_id,occupant_seed,model_scenario_id,baseline_state_id,comparison_state_id,metric,baseline_value,comparison_value,delta
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,central,TABULA_existing,TABULA_advanced_A_proxy,heating_intensity_kWh_m2,175.11352017844825,28.267339056247671,-146.84618112220059
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,central,TABULA_existing,TABULA_advanced_A_proxy,cooling_intensity_kWh_m2,1.5738109920610603,3.4643105645596344,1.890499572498574
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,central,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,19023.788401188292,7230.9129633720386,-11792.875437816254
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,central,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,7286.3282182383673,4534.3398351866299,-2751.9883830517374
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_heating_kWh,41522.455256793248,6697.6869508227855,-34824.768305970465
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_cooling_kWh,248.10578355059738,697.18480822931565,449.07902467871827
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,heating_intensity_kWh_m2,174.17137272144819,28.094324458149266,-146.07704826329893
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,cooling_intensity_kWh_m2,1.0407121793229757,2.9244329204249815,1.8837207411020058
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,18631.128321368185,6915.0076230348832,-11716.120698333303
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,6354.7857235623078,4039.9473977428588,-2314.838325819449
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,annual_heating_kWh,41657.984480830011,6722.568831641117,-34935.415649188893
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,annual_cooling_kWh,361.82973582583259,780.38553113299815,418.55579530716557
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,heating_intensity_kWh_m2,174.73986778871648,28.198694763595288,-146.5411730251212
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,cooling_intensity_kWh_m2,1.5177421804774855,3.2734292413296902,1.7556870608522046
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,19237.708241239809,7305.2207077811536,-11932.487533458654
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,central,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,7715.4651917747115,4750.4101608709234,-2965.0550309037881
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_heating_kWh,41429.418385377081,6685.6371631961301,-34743.781222180951
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_cooling_kWh,238.93563439445117,648.11533909145066,409.17970469699947
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,heating_intensity_kWh_m2,173.78111738832669,28.043780046963633,-145.73733734136306
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,cooling_intensity_kWh_m2,1.0022467885673287,2.7186046102829304,1.7163578217156017
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,18704.964813440107,7414.3060940220603,-11290.658719418047
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,2404203277,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,6571.5856380783571,4360.6174454327684,-2210.9681926455887
