archetype_id,state_id,climate_scenario_id,model_scenario_id,metric,sample_count,weather_member_count,occupant_seed_count,minimum,p05,p25,median,mean,p75,p95,maximum,standard_deviation,interval_interpretation
BE_TABULA_11,TABULA_existing,rcp_4_5,central,heating_full_load_equivalent_hours,6,2,3,2101.5632984420981,2117.5309344969655,2172.6919657457925,2290.1746069520323,2278.410058697461,2388.6304731271362,2422.5623289489522,2433.5676593093863,140.7554698120064,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,central,cooling_full_load_equivalent_hours,6,2,3,45.606885016653443,45.628942998868851,45.995508800322455,46.99051023663506,47.533839076094161,48.091174072519458,50.72661565225269,51.493225293942217,2.198916314660317,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,annual_heating_kWh,6,2,3,41034.211347758581,41133.013107163206,41452.677603231125,47110.724244513418,47193.400479490192,53072.816166310964,53257.781585582285,53277.900843775242,6429.6144902774267,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,annual_cooling_kWh,6,2,3,231.38027157917426,233.26911228299349,241.22817168348772,258.46225895801643,255.8759604995561,269.64444743950315,276.05166176532941,278.09565397681951,19.004449211362285,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,heating_intensity_kWh_m2,6,2,3,172.12336974730948,172.53780665756378,173.87868122160705,197.61209834107976,197.95889462873401,222.62087318083456,223.39673483885187,223.4811277003995,26.969859439083159,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,cooling_intensity_kWh_m2,6,2,3,0.97055483044955648,0.97847781997899952,1.0118631362562405,1.0841537707970488,1.0733052034377353,1.1310589238234192,1.1579348228411468,1.1665086156745785,0.079716649376519649,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_heating_W,6,2,3,18631.128321368185,18649.587444386165,18874.785691655718,20417.644975326206,20393.779792043864,21854.133235222725,22149.223197345025,22202.798561288804,1668.0326626757201,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,peak_cooling_W,6,2,3,6354.7857235623078,6368.5481075968519,6450.2728542949526,6734.7273844111332,6752.7045175076137,7070.9131718450908,7147.3162552810554,7153.5568340818018,355.4578401947519,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,heating_full_load_equivalent_hours,6,2,3,2116.8843205583125,2141.3854580035641,2218.3317173250935,2314.1316022912351,2306.0127173549495,2414.3980015221487,2447.3650881891053,2456.7102220534139,137.379848077308,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,mass_heavy,cooling_full_load_equivalent_hours,6,2,3,36.097693966316712,36.162995829983757,36.696656253225733,37.721077705927328,37.87621194279081,38.714822954239658,39.997714450682722,40.316168472571164,1.6016872996104137,descriptive empirical interval over included weather years and seeds
