scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,heating_variant_id,variant_share,variant_dwellings,energy_carrier,space_heating_system,dhw_system,heat_emitter,supply_temperature_c,ventilation_system,hrv_eta,summer_bypass,reversible_cooling_capable,source_id,assumption_id
low,2050,Flemish Region,BE_TABULA_10,"Apartment, exposed",1946-1970,renovated_TABULA_low_energy,23926.57530968437,3244134,renovated_air_water_heat_pump,1,23926.57530968437,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
low,2050,Flemish Region,BE_TABULA_11,Detached house,1971-1990,as_is_TABULA,176496.1221653136,3244134,as_is_electricity,0.075,13237.20916239852,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_11,Detached house,1971-1990,as_is_TABULA,176496.1221653136,3244134,as_is_gas,0.712,125665.23898170328,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_11,Detached house,1971-1990,as_is_TABULA,176496.1221653136,3244134,as_is_oil,0.147,25944.929958301098,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_11,Detached house,1971-1990,as_is_TABULA,176496.1221653136,3244134,as_is_other,0.066,11648.744062910699,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_11,Detached house,1971-1990,renovated_TABULA_low_energy,30680.86220668641,3244134,renovated_air_water_heat_pump,1,30680.86220668641,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
low,2050,Flemish Region,BE_TABULA_12,Semi-detached house,1971-1990,as_is_TABULA,119473.0156264196,3244134,as_is_electricity,0.075,8960.476171981469,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_12,Semi-detached house,1971-1990,as_is_TABULA,119473.0156264196,3244134,as_is_gas,0.712,85064.78712601075,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_12,Semi-detached house,1971-1990,as_is_TABULA,119473.0156264196,3244134,as_is_oil,0.147,17562.53329708368,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_12,Semi-detached house,1971-1990,as_is_TABULA,119473.0156264196,3244134,as_is_other,0.066,7885.219031343694,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
