scenario,base_year,target_year,ARR,renovation_depth,depth_share,region,priority_rank_within_region_and_depth,archetype_id,dwelling_type,construction_period,source_state_id,destination_state_id,specific_heat_loss_z_W_m2K,initial_source_state_dwellings_2025,allocated_renovations_2025_2050,first_allocation_year,last_allocation_year,annual_regional_depth_quota_dwellings,nominal_depth_quota_to_2050_dwellings,applied_depth_renovations_to_2050_dwellings,unused_depth_quota_to_2050_dwellings,priority_metric,priority_tie_break,transition_event_definition,unique_dwelling_count_available
central,2025,2050,0.028,advanced,0.1,Flemish Region,36,BE_TABULA_17,Semi-detached house,1991-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.20997767857,14454.2117035,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,37,BE_TABULA_02,Semi-detached house,pre-1946,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.19499388186,30009.9843377,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,38,BE_TABULA_19,"Apartment, enclosed",1991-2005,TABULA_existing,TABULA_advanced_A_proxy,1.11932067932,58491.1146072,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,39,BE_TABULA_13,Terraced house,1971-1990,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.09084046346,17180.7137251,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,40,BE_TABULA_08,Terraced house,1946-1970,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.06085714286,36691.2066673,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,41,BE_TABULA_23,Terraced house,post-2005,TABULA_existing,TABULA_advanced_A_proxy,1.04384117059,35329.6240153,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,42,BE_TABULA_23,Terraced house,post-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.04384117059,11264.517802,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,43,BE_TABULA_03,Terraced house,pre-1946,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.00403497123,81440.6161312,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,44,BE_TABULA_18,Terraced house,1991-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,0.995627609603,7213.2856744,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,45,BE_TABULA_24,"Apartment, enclosed",post-2005,TABULA_existing,TABULA_advanced_A_proxy,0.651972027972,86266.382345,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,46,BE_TABULA_04,"Apartment, enclosed",pre-1946,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,0.651972027972,17164.8287994,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,47,BE_TABULA_09,"Apartment, enclosed",1946-1970,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,0.651972027972,23123.2724144,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,48,BE_TABULA_14,"Apartment, enclosed",1971-1990,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,0.651972027972,23624.8745406,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,49,BE_TABULA_19,"Apartment, enclosed",1991-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,0.651972027972,18649.3408892,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,50,BE_TABULA_24,"Apartment, enclosed",post-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,0.651972027972,27505.2233564,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,medium,0.5,Flemish Region,1,BE_TABULA_06,Detached house,1946-1970,TABULA_existing,TABULA_standard_B_proxy,4.92643426633,140899.781078,113649.055478,2026,2028,45417.876000000004,1135446.9000000001,1135446.9000000004,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_standard_B_proxy,false
central,2025,2050,0.028,medium,0.5,Flemish Region,2,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_existing,TABULA_standard_B_proxy,4.9141253996,53835.1448708,44751.5696708,2028,2029,45417.876000000004,1135446.9000000001,1135446.9000000004,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_standard_B_proxy,false
central,2025,2050,0.028,medium,0.5,Flemish Region,3,BE_TABULA_01,Detached house,pre-1946,TABULA_existing,TABULA_standard_B_proxy,4.91345448029,74272.2195165,65188.6443165,2029,2030,45417.876000000004,1135446.9000000001,1135446.9000000004,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_standard_B_proxy,false
